"LTREB_Tag_2019","LTREB_Tag_2014","Old_Tag","Species","Plot_ID","Outside_Historic_Plot","Measure_Year","Date","Distance","Azimuth","Status","Origin_Year","Years_Standing","DBH","As_Class","AGB","Estimated_Height","Notes"
NA,NA,"219","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.3,"N",5.2,NA,NA
NA,NA,"238","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.3,"N",5.2,NA,NA
NA,NA,"246","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.3,"N",5.2,NA,NA
NA,NA,"247","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.3,"N",5.2,NA,NA
NA,NA,"265","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.3,"N",5.2,NA,NA
NA,NA,"269","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.3,"N",5.2,NA,NA
NA,NA,"283","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.3,"N",5.2,NA,NA
NA,NA,"361","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.3,"N",5.2,NA,NA
NA,NA,"391","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.3,"N",5.2,NA,NA
NA,NA,"398","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.3,"N",5.2,NA,NA
NA,NA,"433","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.3,"N",5.2,NA,NA
NA,NA,"451","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.3,"N",5.2,NA,NA
NA,NA,"455","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.3,"N",5.2,NA,NA
NA,NA,"482","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.3,"N",5.2,NA,NA
NA,NA,"515","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.3,"N",5.2,NA,NA
NA,NA,"522","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.3,"N",5.2,NA,NA
NA,NA,"530","ACSA","BS34A","N","1939",NA,NA,NA,NA,1879,60,4.3,"N",5.2,NA,NA
NA,NA,"130","ACSA","BS34A","N","1944",NA,NA,NA,NA,1879,65,4.3,"N",5.2,NA,NA
NA,NA,"302","ACSA","BS34A","N","1944",NA,NA,NA,NA,1879,65,4.3,"N",5.2,NA,NA
NA,NA,"313","ACSA","BS34A","N","1944",NA,NA,NA,NA,1879,65,4.3,"N",5.2,NA,NA
NA,NA,"360","ACSA","BS34A","N","1944",NA,NA,NA,NA,1879,65,4.3,"N",5.2,NA,NA
NA,NA,"376","ACSA","BS34A","N","1944",NA,NA,NA,NA,1879,65,4.3,"N",5.2,NA,NA
NA,NA,"441","ACSA","BS34A","N","1944",NA,NA,NA,NA,1879,65,4.3,"N",5.2,NA,NA
NA,NA,"482","ACSA","BS34A","N","1944",NA,NA,NA,NA,1879,65,4.3,"N",5.2,NA,NA
NA,NA,"486","ACSA","BS34A","N","1944",NA,NA,NA,NA,1879,65,4.3,"N",5.2,NA,NA
NA,NA,"642","ACSA","BS34A","N","1944",NA,NA,NA,NA,1879,65,4.3,"N",5.2,NA,NA
NA,NA,"313","ACSA","BS34A","N","1949",NA,NA,NA,NA,1879,70,4.3,"N",5.2,NA,NA
NA,NA,"441","ACSA","BS34A","N","1949",NA,NA,NA,NA,1879,70,4.3,"N",5.2,NA,NA
NA,NA,"467","ACSA","BS34A","N","1949",NA,NA,NA,NA,1879,70,4.3,"N",5.2,NA,NA
NA,NA,"486","ACSA","BS34A","N","1949",NA,NA,NA,NA,1879,70,4.3,"N",5.2,NA,NA
NA,NA,"130","ACSA","BS34A","N","1954",NA,NA,NA,NA,1879,75,4.3,"N",5.2,NA,NA
NA,NA,"141","ACSA","BS34A","N","1954",NA,NA,NA,NA,1879,75,4.3,"N",5.2,NA,NA
NA,NA,"304","ACSA","BS34A","N","1954",NA,NA,NA,NA,1879,75,4.3,"N",5.2,NA,NA
NA,NA,"467","ACSA","BS34A","N","1954",NA,NA,NA,NA,1879,75,4.3,"N",5.2,NA,NA
NA,NA,"486","ACSA","BS34A","N","1954",NA,NA,NA,NA,1879,75,4.3,"N",5.2,NA,NA
